Accession	Organism	Kingdom	Sequence length	N-term transmembrane
Q3E705	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	233	False
O74365	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	865	False
Q9VKD7	Drosophila melanogaster	Metazoa	253	True
Q8TB37	Homo sapiens	Metazoa	319	False
Q00278	Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)	Fungi	271	False
P83510	Mus musculus	Metazoa	1323	False
P42677	Homo sapiens	Metazoa	84	False
Q00912	Wickerhamomyces anomalus	Fungi	342	False
P12687	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	371	False
Q336R3	Oryza sativa subsp. japonica	Viridiplantae	844	False
Q96JZ2	Homo sapiens	Metazoa	352	False
Q8WXW3	Homo sapiens	Metazoa	757	False
Q7TMF2	Mus musculus	Metazoa	345	False
J9VT33	Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	1048	False
Q80TN7	Mus musculus	Metazoa	2359	False
Q61471	Mus musculus	Metazoa	362	False
P00319	Galdieria sulphuraria	Other	161	False
Q99615	Homo sapiens	Metazoa	494	False
P39990	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	126	False
O14893	Homo sapiens	Metazoa	280	False
Q9BUU2	Homo sapiens	Metazoa	404	False
Q00341	Homo sapiens	Metazoa	1268	False
Q60866	Mus musculus	Metazoa	349	False
P22148	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	382	False
Q9JJD0	Mus musculus	Metazoa	305	False
Q8IS98	Crithidia fasciculata	Other	134	False
P82538	Arabidopsis thaliana	Viridiplantae	230	False
Q80WT4	Mus musculus	Metazoa	515	False
Q9ZQI7	Arabidopsis thaliana	Viridiplantae	456	False
Q0VD86	Homo sapiens	Metazoa	236	False
Q8WSR2	Ascaris suum	Metazoa	141	True
P82920	Bos taurus	Metazoa	87	False
Q18412	Caenorhabditis elegans	Metazoa	309	False
Q8BKT7	Mus musculus	Metazoa	683	False
Q8CC21	Mus musculus	Metazoa	365	False
P63007	Rattus norvegicus	Metazoa	406	False
A2AMM0	Mus musculus	Metazoa	362	False
Q8L7E5	Arabidopsis thaliana	Viridiplantae	703	False
Q8IVP5	Homo sapiens	Metazoa	155	True
Q7RX40	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	158	False
Q98TA5	Xenopus laevis	Metazoa	896	False
Q07950	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	538	False
Q9WVL3	Mus musculus	Metazoa	1083	False
Q6NLW5	Arabidopsis thaliana	Viridiplantae	300	False
Q9C5Q8	Arabidopsis thaliana	Viridiplantae	942	False
Q8L3X9	Arabidopsis thaliana	Viridiplantae	461	False
P22194	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	332	False
Q9XVI2	Caenorhabditis elegans	Metazoa	811	False
Q6FN94	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138)	Fungi	499	False
Q8BNX7	Mus musculus	Metazoa	165	False
Q8WU10	Homo sapiens	Metazoa	500	False
P39103	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	70	True
Q6SJ95	Mus musculus	Metazoa	350	False
P52927	Mus musculus	Metazoa	108	False
Q9UHX1	Homo sapiens	Metazoa	559	False
Q13216	Homo sapiens	Metazoa	396	False
Q9Y7Y5	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	369	False
P22812	Drosophila melanogaster	Metazoa	462	False
O54699	Rattus norvegicus	Metazoa	456	True
H2KYS8	Caenorhabditis elegans	Metazoa	1107	True
P30997	Gallus gallus	Metazoa	906	False
P29747	Drosophila melanogaster	Metazoa	516	False
P34784	Aglaothamnion neglectum	Other	317	False
Q8QZY3	Mus musculus	Metazoa	150	False
O14215	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	454	False
Q9W0I5	Drosophila melanogaster	Metazoa	251	False
Q8GUT5	Arabidopsis thaliana	Viridiplantae	288	False
P27895	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1000	False
Q9JL55	Rattus norvegicus	Metazoa	331	True
Q6NTE8	Homo sapiens	Metazoa	343	False
Q04110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	302	False
P97414	Mus musculus	Metazoa	668	False
Q96D98	Homo sapiens	Metazoa	161	False
P47074	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	515	False
Q6PJW8	Homo sapiens	Metazoa	725	False
Q9XIE2	Arabidopsis thaliana	Viridiplantae	1469	False
Q03760	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	334	False
Q53S58	Homo sapiens	Metazoa	311	True
P06105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1222	False
Q06162	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	153	False
Q19404	Caenorhabditis elegans	Metazoa	442	False
P38855	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283	False
O17514	Caenorhabditis elegans	Metazoa	773	False
Q80US8	Mus musculus	Metazoa	206	False
Q9JIB0	Mus musculus	Metazoa	185	False
Q6P9B9	Homo sapiens	Metazoa	1019	False
P82411	Spinacia oleracea	Viridiplantae	116	False
Q9NS73	Homo sapiens	Metazoa	344	False
Q99L02	Mus musculus	Metazoa	253	False
Q96MI9	Homo sapiens	Metazoa	1112	False
P18496	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	279	False
Q8BQR4	Mus musculus	Metazoa	486	False
P37225	Solanum tuberosum	Viridiplantae	601	False
P25638	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	111	False
P25364	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	564	False
Q16629	Homo sapiens	Metazoa	238	False
Q09739	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	210	False
Q9DCJ5	Mus musculus	Metazoa	172	False
Q5SS91	Mus musculus	Metazoa	320	True
F4IN23	Arabidopsis thaliana	Viridiplantae	321	False
G5EEU2	Caenorhabditis elegans	Metazoa	714	False
Q14CX5	Homo sapiens	Metazoa	517	True
B7Z0X7	Drosophila melanogaster	Metazoa	61	True
Q03898	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	291	False
P39749	Mus musculus	Metazoa	378	False
Q8N371	Homo sapiens	Metazoa	416	False
Q9VZM7	Drosophila melanogaster	Metazoa	631	False
Q92552	Homo sapiens	Metazoa	414	False
P30968	Homo sapiens	Metazoa	328	False
Q9QXX8	Mus musculus	Metazoa	484	False
Q8H7F6	Arabidopsis thaliana	Viridiplantae	293	False
Q90Z72	Gallus gallus	Metazoa	458	False
Q10290	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	303	False
Q9VYQ0	Drosophila melanogaster	Metazoa	172	False
O81208	Arabidopsis thaliana	Viridiplantae	110	True
O74511	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	838	False
O04121	Spinacia oleracea	Viridiplantae	439	False
Q7TS63	Mus musculus	Metazoa	1237	False
Q06679	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	776	False
O14210	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	295	False
O14368	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	143	False
Q8N2Z9	Homo sapiens	Metazoa	138	False
Q9C115	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	150	False
F4KFB3	Arabidopsis thaliana	Viridiplantae	598	False
A0A096LP01	Homo sapiens	Metazoa	95	True
P23511	Homo sapiens	Metazoa	347	False
Q3YEC7	Homo sapiens	Metazoa	729	False
P30557	Mus musculus	Metazoa	365	False
O14141	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	241	False
Q6PL11	Oryza sativa subsp. japonica	Viridiplantae	173	False
Q66K74	Homo sapiens	Metazoa	1059	False
O43521	Homo sapiens	Metazoa	198	False
O08586	Mus musculus	Metazoa	403	False
Q9W252	Drosophila melanogaster	Metazoa	1318	False
Q20497	Caenorhabditis elegans	Metazoa	3498	False
Q8CII8	Mus musculus	Metazoa	388	False
Q9DBL9	Mus musculus	Metazoa	351	False
O43592	Homo sapiens	Metazoa	962	False
Q9VX09	Drosophila melanogaster	Metazoa	607	False
Q6Z6M4	Oryza sativa subsp. japonica	Viridiplantae	572	False
P92792	Solanum tuberosum	Viridiplantae	204	False
Q8VY52	Arabidopsis thaliana	Viridiplantae	232	False
Q53EK2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	232	False
Q9SFB0	Arabidopsis thaliana	Viridiplantae	526	True
Q5ANE3	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	170	False
P23249	Mus musculus	Metazoa	1004	False
O74844	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	244	False
Q9JLM4	Mus musculus	Metazoa	1370	False
Q96301	Arabidopsis thaliana	Viridiplantae	914	False
P38628	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	557	False
O96000	Homo sapiens	Metazoa	172	False
Q9V466	Drosophila melanogaster	Metazoa	845	False
P42841	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	465	False
Q9D328	Mus musculus	Metazoa	167	False
P23615	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1451	False
E7F568	Danio rerio	Metazoa	1343	False
P39706	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	426	False
P81122	Mus musculus	Metazoa	1321	False
Q7K556	Drosophila melanogaster	Metazoa	475	False
Q84JH7	Arabidopsis thaliana	Viridiplantae	225	False
Q63707	Rattus norvegicus	Metazoa	395	True
Q9UTH3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	775	False
Q10271	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	321	False
P51948	Homo sapiens	Metazoa	309	False
Q03750	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	510	False
Q8S3U9	Arabidopsis thaliana	Viridiplantae	1090	False
P40528	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	902	False
Q9LVG4	Arabidopsis thaliana	Viridiplantae	495	False
Q9QWV4	Mus musculus	Metazoa	267	False
Q3MIR4	Homo sapiens	Metazoa	351	True
Q06525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	465	False
Q12068	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	342	False
Q8IVQ6	Homo sapiens	Metazoa	265	True
O42647	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	188	False
Q4KMM3	Mus musculus	Metazoa	866	False
Q6P2C8	Homo sapiens	Metazoa	311	False
Q5WRN1	Caenorhabditis elegans	Metazoa	301	True
O88382	Rattus norvegicus	Metazoa	1277	False
Q9NR90	Homo sapiens	Metazoa	486	False
P0DW81	Homo sapiens	Metazoa	44	False
A1Z8P9	Drosophila melanogaster	Metazoa	2346	False
Q06324	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	491	False
Q9FMS5	Arabidopsis thaliana	Viridiplantae	672	False
P46414	Mus musculus	Metazoa	197	False
A0A486WWJ9	Caenorhabditis elegans	Metazoa	582	False
Q63HN8	Homo sapiens	Metazoa	5207	False
Q03429	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	123	False
Q9NQV5	Homo sapiens	Metazoa	511	False
Q9SHZ6	Arabidopsis thaliana	Viridiplantae	343	False
M0R7Z9	Rattus norvegicus	Metazoa	475	False
P48512	Arabidopsis thaliana	Viridiplantae	312	False
P51530	Homo sapiens	Metazoa	1060	False
P36011	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	622	False
B5KM66	Mus musculus	Metazoa	88	False
P07261	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	785	False
Q9ZQZ6	Arabidopsis thaliana	Viridiplantae	263	False
Q15003	Homo sapiens	Metazoa	741	False
P49599	Arabidopsis thaliana	Viridiplantae	388	False
Q04170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	232	False
Q02637	Drosophila melanogaster	Metazoa	449	False
Q53GS7	Homo sapiens	Metazoa	698	False
Q80T22	Rattus norvegicus	Metazoa	484	True
P40546	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	346	False
Q8CJ00	Mus musculus	Metazoa	444	False
P52594	Homo sapiens	Metazoa	562	False
Q9H875	Homo sapiens	Metazoa	184	False
D2K8N5	Nicotiana benthamiana	Viridiplantae	403	False
O94603	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	948	False
Q9VAW5	Drosophila melanogaster	Metazoa	1673	False
P53927	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	220	False
Q9VL76	Drosophila melanogaster	Metazoa	613	False
O02274	Caenorhabditis elegans	Metazoa	539	False
P38255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	430	False
Q2M2T7	Bos taurus	Metazoa	167	False
Q84JF5	Arabidopsis thaliana	Viridiplantae	483	False
Q9JM05	Mus musculus	Metazoa	507	False
Q5NCM1	Mus musculus	Metazoa	492	False
Q9JHU6	Rattus norvegicus	Metazoa	180	False
O43068	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	421	False
O43822	Homo sapiens	Metazoa	256	False
W0RYD3	Oryza sativa subsp. japonica	Viridiplantae	2135	False
Q58WW2	Homo sapiens	Metazoa	860	False
Q8VZL6	Arabidopsis thaliana	Viridiplantae	441	False
P38812	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	185	False
P08593	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	268	False
O59793	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	384	False
O20029	Chlamydomonas reinhardtii	Viridiplantae	191	False
Q96KS0	Homo sapiens	Metazoa	407	False
P28004	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	379	False
Q9SYM5	Arabidopsis thaliana	Viridiplantae	669	False
P11799	Gallus gallus	Metazoa	1906	False
Q9Y118	Drosophila melanogaster	Metazoa	431	False
Q9ES71	Rattus norvegicus	Metazoa	678	False
P79083	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	328	False
Q9UT19	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	764	False
Q21227	Caenorhabditis elegans	Metazoa	1188	False
Q9T0A4	Arabidopsis thaliana	Viridiplantae	250	False
Q5HZJ0	Mus musculus	Metazoa	1373	False
P40166	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	100	False
O13709	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	244	False
Q56P03	Homo sapiens	Metazoa	285	False
Q8BMI0	Mus musculus	Metazoa	1194	False
P08456	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	276	True
P35729	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1037	False
Q84VX3	Arabidopsis thaliana	Viridiplantae	626	False
P97838	Rattus norvegicus	Metazoa	977	False
P05375	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	206	True
Q7KTX8	Drosophila melanogaster	Metazoa	2618	False
P87000	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	926	False
P43558	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	301	False
Q06568	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	189	False
Q9VB62	Drosophila melanogaster	Metazoa	609	False
Q91876	Xenopus laevis	Metazoa	720	False
Q9VWC6	Drosophila melanogaster	Metazoa	1596	False
Q8WV28	Homo sapiens	Metazoa	456	False
P82162	Spinacia oleracea	Viridiplantae	195	False
P86044	Mus musculus	Metazoa	747	False
Q04545	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1251	False
P82919	Bos taurus	Metazoa	196	False
Q59H18	Homo sapiens	Metazoa	835	False
Q08245	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	113	False
Q23696	Crithidia fasciculata	Other	467	False
B5X582	Arabidopsis thaliana	Viridiplantae	709	False
Q9USP0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	341	False
Q8IWD4	Homo sapiens	Metazoa	279	False
Q9CQ91	Mus musculus	Metazoa	84	True
Q8VZ80	Arabidopsis thaliana	Viridiplantae	539	False
Q9ESV1	Rattus norvegicus	Metazoa	1051	False
Q53R41	Homo sapiens	Metazoa	847	False
Q96A72	Homo sapiens	Metazoa	148	False
Q923S6	Mus musculus	Metazoa	574	False
B0XTT5	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	247	False
P16467	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	563	False
Q8CD10	Mus musculus	Metazoa	432	False
P24345	Zea mays	Viridiplantae	359	False
P56564	Mus musculus	Metazoa	543	False
Q12062	Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)	Fungi	643	False
Q91XB0	Mus musculus	Metazoa	314	False
P47069	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	682	False
Q9NWS8	Homo sapiens	Metazoa	449	False
Q9Z1T5	Mus musculus	Metazoa	566	False
Q9FFS4	Arabidopsis thaliana	Viridiplantae	101	False
Q9C516	Arabidopsis thaliana	Viridiplantae	848	False
Q9LUJ3	Arabidopsis thaliana	Viridiplantae	163	False
Q3U6Q4	Mus musculus	Metazoa	756	False
Q12830	Homo sapiens	Metazoa	3046	False
U3H042	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	264	False
P40847	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	254	False
Q63430	Rattus norvegicus	Metazoa	154	False
P47084	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	519	False
P56216	Penicillium simplicissimum	Fungi	560	False
Q9Y3C1	Homo sapiens	Metazoa	178	False
Q9WVR8	Rattus norvegicus	Metazoa	610	False
Q9V9V9	Drosophila melanogaster	Metazoa	200	False
Q9VDE8	Drosophila melanogaster	Metazoa	974	False
Q9URQ5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	78	False
Q922B6	Mus musculus	Metazoa	594	False
Q9Y4P1	Homo sapiens	Metazoa	393	False
Q03640	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1545	False
Q13286	Homo sapiens	Metazoa	438	True
P25367	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	405	False
P47822	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	140	False
Q9NQS5	Homo sapiens	Metazoa	396	False
P87074	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	778	False
P50091	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	288	False
A0A2H1A5W4	Candidozyma auris	Fungi	679	False
P04039	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	78	True
Q9HCC9	Homo sapiens	Metazoa	887	False
Q8WUA4	Homo sapiens	Metazoa	911	False
Q23544	Caenorhabditis elegans	Metazoa	508	True
Q04659	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	317	False
Q6UWS5	Homo sapiens	Metazoa	81	False
Q03375	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	135	False
O43313	Homo sapiens	Metazoa	823	False
P32453	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	318	False
Q38FI2	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	143	False
Q14642	Homo sapiens	Metazoa	412	False
Q08622	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	556	False
O48782	Arabidopsis thaliana	Viridiplantae	282	False
P0CT58	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	130	False
Q9HBL8	Homo sapiens	Metazoa	299	False
Q9Y7Y6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	291	False
Q05648	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	414	False
P43594	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	170	False
Q5HZG9	Mus musculus	Metazoa	337	False
Q5EAF2	Arabidopsis thaliana	Viridiplantae	334	False
Q9NWT8	Homo sapiens	Metazoa	199	False
Q84LK0	Arabidopsis thaliana	Viridiplantae	1118	False
Q9SHJ5	Arabidopsis thaliana	Viridiplantae	585	False
Q8BXP5	Mus musculus	Metazoa	385	False
Q5AP95	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	517	False
P24473	Rattus norvegicus	Metazoa	226	False
Q12315	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	538	False
Q15466	Homo sapiens	Metazoa	257	False
Q9H9E3	Homo sapiens	Metazoa	785	False
Q9LW00	Arabidopsis thaliana	Viridiplantae	254	False
P0CX38	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	236	False
A0A7J6KE60	Toxoplasma gondii	Other	652	True
Q6ZPR5	Mus musculus	Metazoa	823	False
Q96BY6	Homo sapiens	Metazoa	2186	False
P0DOW4	Ramazzottius varieornatus	Metazoa	445	False
Q9VEN1	Drosophila melanogaster	Metazoa	2210	False
Q9NY74	Homo sapiens	Metazoa	926	False
Q62696	Rattus norvegicus	Metazoa	911	False
P33749	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	630	False
P48240	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	250	False
Q9ZST9	Pisum sativum	Viridiplantae	252	False
Q06697	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	393	False
Q0JJ05	Oryza sativa subsp. japonica	Viridiplantae	987	False
O13852	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	249	False
P49367	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	693	False
P22907	Mus musculus	Metazoa	361	False
Q9FNZ5	Arabidopsis thaliana	Viridiplantae	142	False
P14923	Homo sapiens	Metazoa	745	False
Q8IVS2	Homo sapiens	Metazoa	390	False
Q9UT72	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	205	False
Q6P1J9	Homo sapiens	Metazoa	531	False
Q9Z309	Mus musculus	Metazoa	187	False
Q9YHT2	Gallus gallus	Metazoa	290	False
Q9NXW2	Homo sapiens	Metazoa	375	False
P97521	Rattus norvegicus	Metazoa	301	False
O49668	Arabidopsis thaliana	Viridiplantae	214	False
Q8NHV9	Homo sapiens	Metazoa	184	False
Q7SA60	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	228	False
Q9FZ47	Arabidopsis thaliana	Viridiplantae	290	False
Q8TAC2	Homo sapiens	Metazoa	188	False
Q9FJI1	Arabidopsis thaliana	Viridiplantae	178	False
P53034	Drosophila melanogaster	Metazoa	331	False
O74331	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	363	False
Q12406	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	477	False
P50876	Homo sapiens	Metazoa	292	False
Q9VV73	Drosophila melanogaster	Metazoa	841	False
Q9H0F6	Homo sapiens	Metazoa	387	False
Q99MI9	Cricetulus longicaudatus	Metazoa	692	False
P17937	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	249	False
P38137	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	543	False
P09211	Homo sapiens	Metazoa	210	False
Q6UW78	Homo sapiens	Metazoa	93	True
O00841	Dictyostelium discoideum	Other	802	False
P32874	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2273	False
O75506	Homo sapiens	Metazoa	76	False
Q28177	Bos taurus	Metazoa	415	False
Q9BW71	Homo sapiens	Metazoa	556	False
Q7JXF5	Drosophila melanogaster	Metazoa	394	False
Q22795	Caenorhabditis elegans	Metazoa	242	False
P40858	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	161	False
Q8N5C7	Homo sapiens	Metazoa	304	False
Q00416	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2231	False
Q8IUG5	Homo sapiens	Metazoa	2567	False
P46681	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	530	False
Q96P66	Homo sapiens	Metazoa	508	False
P47127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	394	False
A0A5K7RLP0	Mus musculus	Metazoa	589	False
Q3E824	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	90	True
P48732	Arabidopsis thaliana	Viridiplantae	543	False
Q96ER3	Homo sapiens	Metazoa	474	False
Q9UGU0	Homo sapiens	Metazoa	1960	False
Q9UM63	Homo sapiens	Metazoa	463	False
P41161	Homo sapiens	Metazoa	510	False
P53150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	421	False
O95218	Homo sapiens	Metazoa	330	False
Q9LVM5	Arabidopsis thaliana	Viridiplantae	324	False
Q9LES4	Arabidopsis thaliana	Viridiplantae	483	False
Q95XQ1	Caenorhabditis elegans	Metazoa	578	False
Q9USM1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	388	False
Q9D8F1	Mus musculus	Metazoa	300	False
Q8BT35	Mus musculus	Metazoa	56	True
Q80TT2	Mus musculus	Metazoa	1150	False
Q8GZA8	Arabidopsis thaliana	Viridiplantae	237	False
Q8LPR8	Arabidopsis thaliana	Viridiplantae	871	False
Q3ZC04	Bos taurus	Metazoa	102	False
O60830	Homo sapiens	Metazoa	172	True
A0A7G5KLV3	Cananga odorata	Viridiplantae	586	False
Q96FQ6	Homo sapiens	Metazoa	103	False
P36093	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	366	False
P52296	Rattus norvegicus	Metazoa	875	False
P32567	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	862	False
Q96PE3	Homo sapiens	Metazoa	977	False
D3ZX63	Rattus norvegicus	Metazoa	334	False
Q00312	Candida albicans	Fungi	527	False
Q5SY16	Homo sapiens	Metazoa	702	False
A8MR65	Arabidopsis thaliana	Viridiplantae	201	False
B1AWL2	Mus musculus	Metazoa	2495	False
O74964	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	803	False
Q3SYG4	Homo sapiens	Metazoa	887	False
P70698	Mus musculus	Metazoa	591	False
Q12089	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	606	False
Q9C4Z7	Arabidopsis thaliana	Viridiplantae	229	False
Q62769	Rattus norvegicus	Metazoa	1622	False
Q96JJ3	Homo sapiens	Metazoa	720	False
P54783	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	526	False
E9QDC5	Danio rerio	Metazoa	294	True
Q92575	Homo sapiens	Metazoa	508	False
Q6B9X6	Dictyostelium discoideum	Other	625	False
Q5JVS0	Homo sapiens	Metazoa	413	False
Q9R037	Rattus norvegicus	Metazoa	908	False
Q8C3P7	Mus musculus	Metazoa	580	False
P57725	Mus musculus	Metazoa	372	False
Q80ZI2	Mus musculus	Metazoa	223	False
Q4V7H8	Xenopus laevis	Metazoa	296	False
Q5N829	Oryza sativa subsp. japonica	Viridiplantae	953	False
Q5XKP0	Homo sapiens	Metazoa	118	True
